shij_02	xj_02
保定市	顺平县
保定市	博野县
保定市	雄县
保定市	保定高新技术产业开发区
保定市	保定白沟新城
保定市	涿州市
保定市	定州市
保定市	安国市
保定市	高碑店市
张家口市	市辖区
张家口市	桥东区
张家口市	桥西区
张家口市	宣化区
张家口市	下花园区
张家口市	万全区
张家口市	崇礼区
张家口市	张北县
张家口市	康保县
张家口市	沽源县
张家口市	尚义县
张家口市	蔚县
张家口市	阳原县
张家口市	怀安县
张家口市	怀来县
张家口市	涿鹿县
张家口市	赤城县
张家口市	张家口市高新技术产业开发区
张家口市	张家口市察北管理区
张家口市	张家口市塞北管理区
承德市	市辖区
承德市	双桥区
承德市	双滦区
承德市	鹰手营子矿区
承德市	承德县
承德市	兴隆县
承德市	滦平县
承德市	隆化县
承德市	丰宁满族自治县
承德市	宽城满族自治县
承德市	围场满族蒙古族自治县
承德市	承德高新技术产业开发区
承德市	平泉市
沧州市	市辖区
沧州市	新华区
沧州市	运河区
沧州市	沧县
沧州市	青县
沧州市	东光县
沧州市	海兴县
沧州市	盐山县
沧州市	肃宁县
沧州市	南皮县
沧州市	吴桥县
沧州市	献县
沧州市	孟村回族自治县
沧州市	河北沧州经济开发区
沧州市	沧州高新技术产业开发区
沧州市	沧州渤海新区
沧州市	泊头市
沧州市	任丘市
沧州市	黄骅市
沧州市	河间市
廊坊市	市辖区
廊坊市	安次区
廊坊市	广阳区
廊坊市	固安县
廊坊市	永清县
廊坊市	香河县
廊坊市	大城县
廊坊市	文安县
廊坊市	大厂回族自治县
廊坊市	廊坊经济技术开发区
廊坊市	霸州市
廊坊市	三河市
衡水市	市辖区
衡水市	桃城区
衡水市	冀州区
衡水市	枣强县
衡水市	武邑县
衡水市	武强县
衡水市	饶阳县
衡水市	安平县
衡水市	故城县
衡水市	景县
衡水市	阜城县
衡水市	河北衡水经济开发区
衡水市	衡水滨湖新区
衡水市	深州市
测试一市	市中区
测试一市	市南区
测试一市	益田区
辛集市	辛集市辛集镇
辛集市	辛集市旧城镇
辛集市	辛集市张古庄镇
辛集市	辛集市位伯镇
辛集市	辛集市新垒头镇
辛集市	辛集市新城镇
辛集市	辛集市南智邱镇
辛集市	辛集市王口镇
辛集市	辛集市天宫营乡
辛集市	辛集市前营乡
辛集市	辛集市马庄乡
辛集市	辛集市和睦井乡
辛集市	辛集市田家庄乡
辛集市	辛集市中里厢乡
辛集市	辛集市小辛庄乡
辛集市	辛集市制革工业区
辛集市	辛集市经济开发区
定州市	定州市南城区
定州市	定州市北城区
定州市	定州市西城区
定州市	定州市经济开发区管理委员会
定州市	定州市留早镇
定州市	定州市清风店镇
定州市	定州市庞村镇
定州市	定州市砖路镇
定州市	定州市明月店镇
定州市	定州市叮咛店镇
定州市	定州市东亭镇
定州市	定州市大辛庄镇
定州市	定州市东旺镇
定州市	定州市高蓬镇
定州市	定州市长安路街道
定州市	定州市周村镇
定州市	定州市东留春乡
定州市	定州市号头庄回族乡
定州市	定州市杨家庄乡
定州市	定州市大鹿庄乡
定州市	定州市息冢镇
定州市	定州市西城乡
定州市	定州市邢邑镇
定州市	定州市李亲顾镇
定州市	定州市子位镇
定州市	定州市开元镇
